symbol,market,purge_note,enrolled,baseline_price,last_price,ret_pct,rsi,rsi_zone,last_checked
ATUL,IN,piotroski+debt 2026-07-21 | evicted 2026-07-23 after 18 sessions in sell zone,2026-07-27,6789.5,6789.5,0.0,65.6,BUY,2026-07-27
AARON,IN,piotroski+debt 2026-07-21 | evicted 2026-07-23 after 222 sessions in sell zone,2026-07-27,141.9499969482422,141.9499969482422,0.0,73.3,BUY,2026-07-27
38390,KR,technical 2026-07-21 | evicted 2026-07-23 after 50 sessions in sell zone,2026-07-27,9710.0,9710.0,0.0,47.6,HOLD,2026-07-27
SJT,US,25.1 RSI @ 2026-07-22 | evicted 2026-07-23 after 116 sessions in sell zone,2026-07-27,2.5199999809265137,2.5199999809265137,0.0,28.7,BUY,2026-07-27
PNR,US,25.9 RSI @ 2026-07-22 | evicted 2026-07-23 after 58 sessions in sell zone,2026-07-27,62.880001068115234,62.880001068115234,0.0,33.0,BUY,2026-07-27
AA,US,26.1 RSI @ 2026-07-22 | evicted 2026-07-23 after 25 sessions in sell zone,2026-07-27,44.2400016784668,44.2400016784668,0.0,30.4,BUY,2026-07-27
PRTS,US,26.7 RSI @ 2026-07-22 | evicted 2026-07-23 after 49 sessions in sell zone,2026-07-27,5.28000020980835,5.28000020980835,0.0,42.1,HOLD,2026-07-27
246690.KQ,KR,19.8 RSI @ 2026-07-22 | evicted 2026-07-23 after 50 sessions in sell zone,2026-07-27,1488.0,1488.0,0.0,27.2,BUY,2026-07-27
476040.KQ,KR,21.5 RSI @ 2026-07-22 | evicted 2026-07-23 after 133 sessions in sell zone,2026-07-27,7680.0,7680.0,0.0,25.9,BUY,2026-07-27
043100.KQ,KR,21.9 RSI @ 2026-07-22 | evicted 2026-07-23 after 102 sessions in sell zone,2026-07-27,520.0,520.0,0.0,21.9,BUY,2026-07-27
4109.T,JP,28.3 RSI @ 2026-07-22 | evicted 2026-07-23 after 17 sessions in sell zone,2026-07-27,5620.0,5620.0,0.0,35.7,HOLD,2026-07-27
4222.T,JP,28.6 RSI @ 2026-07-22 | evicted 2026-07-23 after 49 sessions in sell zone,2026-07-27,618.0,618.0,0.0,35.4,HOLD,2026-07-27
6619.T,JP,28.7 RSI @ 2026-07-22 | evicted 2026-07-23 after 32 sessions in sell zone,2026-07-27,157.0,157.0,0.0,32.0,BUY,2026-07-27
7564.T,JP,28.9 RSI @ 2026-07-22 | evicted 2026-07-23 after 30 sessions in sell zone,2026-07-27,5590.0,5590.0,0.0,26.9,BUY,2026-07-27
6908.T,JP,29.3 RSI @ 2026-07-22 | evicted 2026-07-23 after 49 sessions in sell zone,2026-07-27,2790.0,2790.0,0.0,35.2,HOLD,2026-07-27
CAPR,US,26.8 RSI @ 2026-07-23 | evicted 2026-07-23 after 17 sessions in sell zone,2026-07-27,19.700000762939453,19.700000762939453,0.0,33.1,BUY,2026-07-27
8783.T,JP,30.0 RSI @ 2026-07-23 | evicted 2026-07-23 after 61 sessions in sell zone,2026-07-27,68.0,68.0,0.0,30.1,BUY,2026-07-27
GESHIP,IN,value_rerating 2026-07-23,2026-07-27,1398.5999755859375,1398.5999755859375,0.0,45.9,HOLD,2026-07-27
EKI,IN,evicted 2026-07-23 after 8 sessions in sell zone,2026-07-27,84.0999984741211,84.0999984741211,0.0,47.2,HOLD,2026-07-27
EMBASSY,IN,nan,2026-07-27,437.989990234375,437.989990234375,0.0,45.5,HOLD,2026-07-27
GSPL,IN,nan,2026-07-27,268.3500061035156,268.3500061035156,0.0,45.3,HOLD,2026-07-27
