symbol,market,status,note,entry_date,entry_price
3769,JP,signal,golden_cross 2026-07-21 (backfilled),2026-07-21,9929.0
8281,JP,signal,golden_cross 2026-07-21 (backfilled),2026-07-21,1108.0
6995,JP,signal,golden_cross 2026-07-21 (backfilled),2026-07-21,3115.0
2533,JP,signal,golden_cross 2026-07-21 (backfilled),2026-07-21,506.0
457600,KR,signal,technical 2026-07-21,2026-07-21,3310.0
54410,KR,signal,technical 2026-07-21,2026-07-21,3590.0
400,KR,signal,technical 2026-07-21,2026-07-21,2180.0
101160,KR,signal,technical 2026-07-21,2026-07-21,29450.0
44340,KR,signal,technical 2026-07-21,2026-07-21,4135.0
5430,KR,signal,technical 2026-07-21,2026-07-21,79300.0
446540,KR,signal,technical 2026-07-21,2026-07-21,6680.0
31980,KR,signal,technical 2026-07-21,2026-07-21,135000.0
127120,KR,signal,technical 2026-07-21,2026-07-21,32600.0
227610,KR,signal,technical 2026-07-21,2026-07-21,1431.0
6370,KR,signal,technical 2026-07-21,2026-07-21,5620.0
30720,KR,signal,technical 2026-07-21,2026-07-21,5730.0
212560,KR,signal,technical 2026-07-21,2026-07-21,10560.0
219130,KR,signal,technical 2026-07-21,2026-07-21,75900.0
26910,KR,signal,technical 2026-07-21,2026-07-21,5390.0
475150,KR,signal,technical 2026-07-21,2026-07-21,55900.0
94840,KR,signal,technical 2026-07-21,2026-07-21,12910.0
61090,KR,signal,technical 2026-07-21,2026-07-21,42350.0
214260,KR,signal,technical 2026-07-21,2026-07-21,8550.0
36930,KR,signal,technical 2026-07-21,2026-07-21,169200.0
33560,KR,signal,technical 2026-07-21,2026-07-21,4365.0
66590,KR,signal,technical 2026-07-21,2026-07-21,3185.0
212710,KR,signal,technical 2026-07-21,2026-07-21,9000.0
144960,KR,signal,technical 2026-07-21,2026-07-21,10000.0
119850,KR,signal,technical 2026-07-21,2026-07-21,35750.0
310200,KR,signal,technical 2026-07-21,2026-07-21,2440.0
270520,KR,signal,technical 2026-07-21,2026-07-21,2875.0
263800,KR,signal,technical 2026-07-21,2026-07-21,6040.0
91970,KR,signal,technical 2026-07-21,2026-07-21,3910.0
348030,KR,signal,technical 2026-07-21,2026-07-21,2900.0
399720,KR,signal,technical 2026-07-21,2026-07-21,45200.0
79940,KR,signal,technical 2026-07-21,2026-07-21,47500.0
1540,KR,signal,technical 2026-07-21,2026-07-21,11560.0
53350,KR,signal,technical 2026-07-21,2026-07-21,3625.0
236200,KR,signal,technical 2026-07-21,2026-07-21,47300.0
71200,KR,signal,technical 2026-07-21,2026-07-21,8600.0
57540,KR,signal,technical 2026-07-21,2026-07-21,940.0
104040,KR,signal,technical 2026-07-21,2026-07-21,2880.0
35610,KR,signal,technical 2026-07-21,2026-07-21,4785.0
94860,KR,signal,technical 2026-07-21,2026-07-21,1421.0
6120,KR,signal,technical 2026-07-21,2026-07-21,50400.0
20120,KR,signal,technical 2026-07-21,2026-07-21,3585.0
17890,KR,signal,technical 2026-07-21,2026-07-21,13170.0
6340,KR,signal,technical 2026-07-21,2026-07-21,11840.0
33130,KR,signal,technical 2026-07-21,2026-07-21,1971.0
42420,KR,signal,technical 2026-07-21,2026-07-21,22600.0
93380,KR,signal,technical 2026-07-21,2026-07-21,2665.0
52330,KR,signal,technical 2026-07-21,2026-07-21,12010.0
192390,KR,signal,technical 2026-07-21,2026-07-21,1834.0
91440,KR,signal,technical 2026-07-21,2026-07-21,2915.0
8490,KR,signal,technical 2026-07-21,2026-07-21,21000.0
26890,KR,signal,technical 2026-07-21,2026-07-21,8170.0
120240,KR,signal,technical 2026-07-21,2026-07-21,14640.0
175330,KR,signal,technical 2026-07-21,2026-07-21,26000.0
244920,KR,signal,technical 2026-07-21,2026-07-21,11370.0
131290,KR,signal,technical 2026-07-21,2026-07-21,251000.0
348350,KR,signal,technical 2026-07-21,2026-07-21,9480.0
361670,KR,signal,technical 2026-07-21,2026-07-21,3395.0
5670,KR,signal,technical 2026-07-21,2026-07-21,6380.0
90850,KR,signal,technical 2026-07-21,2026-07-21,6060.0
82210,KR,signal,technical 2026-07-21,2026-07-21,2085.0
270870,KR,signal,technical 2026-07-21,2026-07-21,4620.0
105560,KR,signal,technical 2026-07-21,2026-07-21,174000.0
185490,KR,signal,technical 2026-07-21,2026-07-21,1500.0
70590,KR,signal,technical 2026-07-21,2026-07-21,1639.0
318010,KR,signal,technical 2026-07-21,2026-07-21,3685.0
332370,KR,signal,technical 2026-07-21,2026-07-21,5270.0
73240,KR,signal,technical 2026-07-21,2026-07-21,6100.0
3690,KR,signal,technical 2026-07-21,2026-07-21,13380.0
55550,KR,signal,technical 2026-07-21,2026-07-21,104700.0
58630,KR,signal,technical 2026-07-21,2026-07-21,4420.0
71950,KR,signal,technical 2026-07-21,2026-07-21,1750.0
80010,KR,signal,technical 2026-07-21,2026-07-21,7470.0
453340,KR,signal,technical 2026-07-21,2026-07-21,18020.0
14100,KR,signal,technical 2026-07-21,2026-07-21,1889.0
7070,KR,signal,technical 2026-07-21,2026-07-21,25750.0
45060,KR,signal,technical 2026-07-21,2026-07-21,2200.0
21650,KR,signal,technical 2026-07-21,2026-07-21,2190.0
2820,KR,signal,technical 2026-07-21,2026-07-21,2285.0
79650,KR,signal,technical 2026-07-21,2026-07-21,4255.0
14710,KR,signal,technical 2026-07-21,2026-07-21,9170.0
136490,KR,signal,technical 2026-07-21,2026-07-21,9770.0
145210,KR,evicted,technical 2026-07-21 | evicted 2026-07-23 after 10 sessions in sell zone,2026-07-21,224.0
89970,KR,signal,technical 2026-07-21,2026-07-21,89300.0
86060,KR,signal,technical 2026-07-21,2026-07-21,5150.0
6090,KR,signal,technical 2026-07-21,2026-07-21,8260.0
9240,KR,signal,technical 2026-07-21,2026-07-21,35300.0
4430,KR,signal,technical 2026-07-21,2026-07-21,12080.0
66620,KR,signal,technical 2026-07-21,2026-07-21,23850.0
16920,KR,signal,technical 2026-07-21,2026-07-21,1008.0
95610,KR,signal,technical 2026-07-21,2026-07-21,165700.0
319660,KR,signal,technical 2026-07-21,2026-07-21,170000.0
481070,KR,signal,technical 2026-07-21,2026-07-21,16200.0
290690,KR,signal,technical 2026-07-21,2026-07-21,4300.0
17650,KR,signal,technical 2026-07-21,2026-07-21,9140.0
237750,KR,evicted,technical 2026-07-21 | evicted 2026-07-23 after 6 sessions in sell zone,2026-07-21,3995.0
89860,KR,signal,technical 2026-07-21,2026-07-21,36700.0
222040,KR,signal,technical 2026-07-21,2026-07-21,8200.0
85810,KR,signal,technical 2026-07-21,2026-07-21,1719.0
43590,KR,signal,technical 2026-07-21,2026-07-21,1410.0
8410,JP,signal,technical 2026-07-21,2026-07-21,311.3
4197,JP,signal,technical 2026-07-21,2026-07-21,2330.0
8101,JP,signal,technical 2026-07-21,2026-07-21,2654.0
7867,JP,signal,technical 2026-07-21,2026-07-21,3690.0
4441,JP,signal,technical 2026-07-21,2026-07-21,1570.0
GREEL,US,signal,technical 2026-07-21,2026-07-21,24.7
GRN,US,signal,technical 2026-07-21,2026-07-21,33.035
EPR-PC,US,signal,technical 2026-07-21,2026-07-21,27.29
ACP,US,signal,technical 2026-07-21,2026-07-21,5.31
CRAC,US,signal,technical 2026-07-21,2026-07-21,10.14
PANNERGY.BD,EU,signal,technical 2026-07-21,2026-07-21,2500.0
FCH.L,EU,signal,technical 2026-07-21,2026-07-21,226.0
PUM.F,EU,signal,technical 2026-07-21,2026-07-21,28.7
SZG.F,EU,signal,technical 2026-07-21,2026-07-21,54.0
2175,JP,signal,technical 2026-07-21,2026-07-21,2478.0
7175,JP,signal,technical 2026-07-22,2026-07-22,1590.0
3946,JP,signal,technical 2026-07-22,2026-07-22,4465.0
