market,h,ret,excess,rsi_evict
IN,21,-0.40904028307559015,2.9146700866159225,48.1
IN,63,-15.738687325665069,-8.672924703265862,48.1
IN,21,4.000440268563832,4.714863314550133,24.2
IN,63,8.808373107595635,8.371708985233317,24.2
IN,21,-0.07858783702092698,0.7000641696581433,22.8
IN,63,-7.360053197920447,-0.13688528246870213,22.8
IN,21,0.5560851604702988,1.916303643015238,34.1
IN,63,2.8280902446774725,8.490662525251757,34.1
IN,21,-6.677768214646573,0.19641281578444136,32.3
IN,63,3.412790480110761,10.259210855402245,32.3
IN,21,6.578921787818115,5.612281529677499,44.8
IN,63,-2.9550712522114386,-2.6185895451697916,44.8
IN,21,4.126786596636345,5.898835561616178,31.4
IN,63,-0.7649653203521067,4.15023095628474,31.4
IN,21,16.521169484042787,16.521169484042787,36.1
IN,63,8.440735413492085,10.45482091137474,36.1
IN,21,10.749569042382468,12.9079805038823,52.8
IN,63,14.810675860429168,18.19026778726881,52.8
IN,21,5.808005930318738,7.174564532816441,39.8
IN,63,-8.51742031134174,1.1404410400257632,39.8
IN,21,0.547164861522309,1.6344695603026982,35.7
IN,63,-12.858374245774474,-3.179803464196697,35.7
IN,21,-1.0772583364170751,-1.6177360359172388,30.3
IN,63,7.836848813782327,9.762232108035606,30.3
IN,21,8.342519685039385,8.88319575530443,52.8
IN,63,19.78740157480314,23.510627045060428,52.8
IN,21,-9.990807133664282,-6.219146646436536,49.5
IN,63,-22.936814365385793,-16.0045354843799,49.5
IN,21,7.053682896379532,6.585876946498903,37.8
IN,63,9.176029962546828,8.387893528700374,37.8
IN,21,10.942956926658898,11.721608933337968,44.2
IN,63,-0.8149010477299212,7.679737512599428,44.2
IN,21,1.6683350016683418,1.6683350016683418,40.9
IN,63,-0.2669336002669387,2.4092188874948905,40.9
IN,21,-5.906768837803322,-2.375773496339606,47.3
IN,63,3.9591315453384457,8.112804329559708,47.3
IN,21,12.03478260869566,11.267523614021636,46.8
