market,symbol,trades,hit,revenue_gross_gains,gross_trading_profit,txn_costs,income_tax,net_income,capital_deployed,operating_income_ebit,geography
US,ACOG,4,0.75,5416.546910982381,5271.829027884754,40.0,595.0958711177385,4636.733156767015,40000.0,5231.829027884754,United States
US,BOBS,3,1.0,5242.240934013911,5242.240934013911,30.0,575.8388649281902,4636.4020690857205,30000.0,5212.240934013911,United States
US,GRPN,2,1.0,5218.1110329077155,5218.1110329077155,20.0,574.2778192440888,4623.833213663626,20000.0,5198.1110329077155,United States
US,VRNS,3,1.0,5226.1743043613105,5226.1743043613105,30.0,574.0638530092285,4622.110451352082,30000.0,5196.1743043613105,United States
US,MIRM,5,1.0,5221.557790315234,5221.557790315234,50.0,571.3442654678549,4600.21352484738,50000.0,5171.557790315234,United States
US,TBBK,5,1.0,5186.01325452627,5186.013254526271,50.0,567.4173700303193,4568.595884495952,50000.0,5136.013254526271,United States
US,ABCL,2,1.0,5125.273723806611,5125.273723806611,20.0,564.0213227826716,4541.2524010239395,20000.0,5105.273723806611,United States
US,WLYB,4,1.0,5076.541032961051,5076.54103296105,40.0,556.42786055001,4480.113172411041,40000.0,5036.54103296105,United States
US,RYAN,3,1.0,5065.149475664452,5065.149475664452,30.0,556.2741238397733,4478.875351824679,30000.0,5035.149475664452,United States
US,LIF,3,1.0,4995.195223595221,4995.195223595221,30.0,548.5457057527328,4416.649517842488,30000.0,4965.195223595221,United States
US,NTRA,4,1.0,4980.084025473184,4980.084025473184,40.0,545.7714664175519,4394.312559055632,40000.0,4940.084025473184,United States
US,MXL,3,1.0,4965.426942846943,4965.426942846944,30.0,545.2569604291833,4390.169982417761,30000.0,4935.426942846944,United States
US,SKWD,4,1.0,4955.661766392425,4955.661766392425,40.0,543.0733398101896,4372.588426582236,40000.0,4915.661766392425,United States
US,ONT,2,1.0,4930.326159185792,4930.326159185792,20.0,542.4838716646324,4367.84228752116,20000.0,4910.326159185792,United States
US,ABX,3,1.0,4931.237524140833,4931.237524140833,30.0,541.4797758535806,4359.757748287252,30000.0,4901.237524140833,United States
US,DVA,5,1.0,4946.2031891964525,4946.203189196452,50.0,540.9235917176704,4355.279597478781,50000.0,4896.203189196452,United States
US,WIX,3,1.0,4923.021335362372,4923.021335362372,30.0,540.5720663136494,4352.449269048722,30000.0,4893.021335362372,United States
US,CRVS,3,1.0,4917.159520059206,4917.159520059206,30.0,539.9244636580304,4347.235056401176,30000.0,4887.159520059206,United States
US,PERI,5,1.0,4926.985997331764,4926.985997331765,50.0,538.8005114359717,4338.185485895794,50000.0,4876.985997331765,United States
US,CNA,5,1.0,4907.994011861443,4907.994011861443,50.0,536.702311545672,4321.291700315771,50000.0,4857.994011861443,United States
US,CLDX,4,1.0,4853.650834748522,4853.650834748521,40.0,531.8033582740799,4281.847476474442,40000.0,4813.650834748521,United States
US,TLX,4,1.0,4804.627459346661,4804.627459346662,40.0,526.3873452378949,4238.240114108768,40000.0,4764.627459346662,United States
US,LTH,5,1.0,4813.430973329602,4813.430973329602,50.0,526.2551596465747,4237.175813683028,50000.0,4763.430973329602,United States
