symbol,country,pegu_score,pegu_grade,darvas,piotroski,coffee_can,cc_score,n_product_codes,in_validated_universe,market
LOGITECH INT,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LOGITECH INTERNATIONAL,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LOGITECH N,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
LONDON STOCK EXCHANGE,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
LONDON STOCK EXCHANGE (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LONDON STOCK EXCHANGE DIVIDEND FUT,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LONZA,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LONZA AG,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
LONZA GROUP AG,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
LOWE'S,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LOWES COMPANIES INC.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
LOreal (mini),Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
LPKF LASER & ELEC. SE,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
LPKF LASER & ELECTR.SE,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
LUFTHANSA,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
LUFTHANSA AG,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LUFTHANSA AG -ST-,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
LUFTHANSA ST,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
LVMH (mini),Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
LYFT,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Laboratorios Farmaceuticos,Spain,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,ES
Las Vegas Sands DIVIDEND FUT,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Legrand,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Legrand S.A.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Leonardo S.p.A.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Lindt & Spruengli N,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Lindt & Spruengli PS,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Logitech,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Lonza Group (10),Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Louis Hachette,France,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,FR
M6-METROPOLE TELEVISION,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
MAPFRE SA,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
MARKS&SPENCER GROUP PL,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
MASTERCARD,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
MAYR MELNHOF,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
MAYR-MELNHOF KARTON AG,Austria,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,AT
MBANK S.A.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
MCDONALD'S,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
MCDONALDS CORP DIVIDEND  FUTURE,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
MCDONALDS CORP.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
MELIA HOTELS INT SA,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
MELROSE INDUSTRIES (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
MERCEDES-BENZ GROUP DIVIDEND  FUTURE,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
MERCK & CO,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
MERCK & CO. INC.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
MERLIN PROPERTIES SA,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
META PLATFORMS,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
META PLATFORMS INC.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
META PLATFORMS INC. [EUR],Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
MICROSOFT CORP,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
MICROSOFT [EUR],Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
MONDI (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
MONTE DI PASCHI,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
MTU AERO ENGINES,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
MTU Aero,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
MTU Aero (mini),Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
MTU Aero Engines AG,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
MUENCH.RUECK,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
MUENCHENER RUECKVERS.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
MUENCHNER RUECKVERS AG,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
MUNICH RE,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Mandatum,Finland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,FI
Mapfre,Spain,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,ES
Mastercard,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Medacta,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
Medmix,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
Melexis,Belgium,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,BE
Melrose Industries PLC,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Merck KGaA,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Merlin Properties,Spain,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,ES
Merlin Properties S.A.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Meta Platforms DIVIDEND FUT,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Michelin,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Mobilezone Holding,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
Moller - Maersk,Denmark,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DK
Moncler S.p.A.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Montana Aerospace,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
Monte dei Paschi DIVIDEND FUT,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Muenchener Rueck. (mini),Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Mutares,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
NATIONAL GRID,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
NATIONAL GRID (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
NATIONAL GRID DIVIDEND,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
NATIONAL GRID PLC,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
