symbol,country,darvas,piotroski,coffee_can,cc_score,has_ssf,has_sso,has_trf,has_div,n_product_codes,in_validated_universe,is_dax40,pegu_score,pegu_grade,market
SIXT SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
SOCIETE GENERALE S.A.,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
SPIRAX GROUP PLC.,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
SSE PLC,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
STADLER RAIL,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
STORA ENSO,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
STRABAG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
STRATEC SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
STRAUMANN HOLDING,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
SUEDZUCKER,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
SYMRISE AG,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,1,43,C+,DE
Siemens Energy,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
Swedbank [SEK],Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
TALANX AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
TERNA,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
TESCO PLC,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
THYSSEN KRUPP AG,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,0,43,C+,DE
THYSSENKRUPP TKMS BASKET,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,0,43,C+,DE
TKMS,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
TOTALENERGIES,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,0,43,C+,DE
TUI AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
Telia [SEK],Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
UBER TECHNOLOGIES,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
UNICREDIT,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
UNIVERSAL MUSIC GROUP,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
VALMET OYJ,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
VERBIO SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
VERIZON COMMUNICATIONS,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
VIENNA INSURANCE GROUP,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
VONOVIA SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
WACKER CHEMIE,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,1,0,2,0,0,43,C+,DE
