Product,Contract,PreviousDaySettlementPrice
ODAX,ODAX SI 20261218 CS EU P 22800 0,350.3
ODAX,ODAX SI 20260703 CS EU C 27100 0,0.1
ODAX,ODAX SI 20260710 CS EU C 26600 0,6.3
ODAX,ODAX SI 20281215 CS EU C 22400 0,6120.9
ODAX,ODAX SI 20260821 CS EU P 22550 0,56.1
ODAX,ODAX SI 20301220 CS EU P 21200 0,1427.2
ODAX,ODAX SI 20290615 CS EU C 23400 0,5836.4
ODAX,ODAX SI 20290615 CS EU C 27400 0,3385.7
ODAX,ODAX SI 20260821 CS EU C 18600 0,7041.6
ODAX,ODAX SI 20260807 CS EU P 26600 0,1069.8
ODAX,ODAX SI 20260821 CS EU P 26400 0,970.8
ODAX,ODAX SI 20280616 CS EU P 24800 0,1684.1
ODAX,ODAX SI 20260918 CS EU C 23200 0,2650.6
ODAX,ODAX SI 20260717 CS EU C 22350 0,3243.9
ODAX,ODAX SI 20270917 CS EU C 21800 0,5257.7
ODAX,ODAX SI 20301220 CS EU P 24600 0,2184.9
ODAX,ODAX SI 20270319 CS EU P 36000 0,9763.1
ODAX,ODAX SI 20270917 CS EU P 25500 0,1546.8
ODAX,ODAX SI 20260918 CS EU P 20600 0,43.7
ODAX,ODAX SI 20260821 CS EU P 21650 0,34.9
ODAX,ODAX SI 20291221 CS EU C 15600 0,12255.2
ODAX,ODAX SI 20260807 CS EU P 27400 0,1788.5
ODAX,ODAX SI 20270618 CS EU C 27500 0,1124.7
ODAX,ODAX SI 20280616 CS EU P 21800 0,1003
ODAX,ODAX SI 20260710 CS EU P 28100 0,
ODAX,ODAX SI 20260703 CS EU C 24025 0,1536.9
ODAX,ODAX SI 20280616 CS EU P 23800 0,1420.5
ODAX,ODAX SI 20260918 CS EU P 19400 0,26.6
ODAX,ODAX SI 20260710 CS EU C 27350 0,1.1
ODAX,ODAX SI 20271217 CS EU C 19000 0,7868.6
ODAX,ODAX SI 20270319 CS EU P 28500 0,2846.6
ODAX,ODAX SI 20260710 CS EU P 24250 0,7.6
ODAX,ODAX SI 20290316 CS EU C 25800 0,4054.5
ODAX,ODAX SI 20260918 CS EU P 22150 0,90.2
ODAX,ODAX SI 20290615 CS EU P 21800 0,1291.9
ODAX,ODAX SI 20291221 CS EU P 27800 0,3084.2
ODAX,ODAX SI 20260821 CS EU P 22650 0,59.3
ODAX,ODAX SI 20260821 CS EU C 27950 0,
ODAX,ODAX SI 20261218 CS EU C 24000 0,2399.2
ODAX,ODAX SI 20260724 CS EU C 27050 0,13.4
ODAX,ODAX SI 20260821 CS EU P 22900 0,68.7
ODAX,ODAX SI 20261218 CS EU C 21900 0,4189.8
ODAX,ODAX SI 20271217 CS EU P 16800 0,278.8
ODAX,ODAX SI 20290316 CS EU P 26000 0,2299.1
ODAX,ODAX SI 20260724 CS EU C 27600 0,4.7
ODAX,ODAX SI 20260731 CS EU C 22350 0,3278.8
ODAX,ODAX SI 20271217 CS EU C 27000 0,1989.7
ODAX,ODAX SI 20260731 CS EU C 23750 0,1913.2
ODAX,ODAX SI 20270319 CS EU P 22900 0,548.5
ODAX,ODAX SI 20260703 CS EU C 26750 0,0.1
ODAX,ODAX SI 20290316 CS EU C 22800 0,6044.4
ODAX,ODAX SI 20280616 CS EU P 18400 0,527
ODAX,ODAX SI 20260710 CS EU C 24300 0,1286.5
ODAX,ODAX SI 20260807 CS EU C 27150 0,35.5
ODAX,ODAX SI 20271217 CS EU C 22800 0,4735.3
ODAX,ODAX SI 20260821 CS EU P 16800 0,3.9
ODAX,ODAX SI 20260710 CS EU P 27850 0,
ODAX,ODAX SI 20270618 CS EU C 23900 0,3281.8
ODAX,ODAX SI 20301220 CS EU C 28200 0,4432.3
ODAX,ODAX SI 20260724 CS EU C 22800 0,2815.7
ODAX,ODAX SI 20261218 CS EU P 21700 0,240
ODAX,ODAX SI 20270917 CS EU P 28800 0,3160
ODAX,ODAX SI 20270319 CS EU P 20500 0,279.2
ODAX,ODAX SI 20260918 CS EU C 22450 0,3345.8
ODAX,ODAX SI 20291221 CS EU C 21000 0,8062.9
ODAX,ODAX SI 20261218 CS EU P 21500 0,224.5
ODAX,ODAX SI 20281215 CS EU C 34000 0,884.5
ODAX,ODAX SI 20260717 CS EU C 16300 0,9283.1
ODAX,ODAX SI 20270618 CS EU C 39000 0,6.7
ODAX,ODAX SI 20261218 CS EU C 22300 0,3831.8
ODAX,ODAX SI 20260724 CS EU P 28050 0,
ODAX,ODAX SI 20260717 CS EU C 26500 0,24.3
ODAX,ODAX SI 20260717 CS EU C 21400 0,4190.7
ODAX,ODAX SI 20281215 CS EU P 27200 0,2677.2
ODAX,ODAX SI 20270618 CS EU C 38000 0,9.8
ODAX,ODAX SI 20260703 CS EU P 24350 0,0.2
ODAX,ODAX SI 20271217 CS EU C 33000 0,268.7
ODAX,ODAX SI 20270319 CS EU C 22900 0,3668.1
ODAX,ODAX SI 20260717 CS EU C 24350 0,1272.2
ODAX,ODAX SI 20260710 CS EU P 22400 0,1.1
ODAX,ODAX SI 20260807 CS EU P 23550 0,63.4
ODAX,ODAX SI 20260918 CS EU P 24300 0,293.3
ODAX,ODAX SI 20270917 CS EU C 29400 0,760.5
